Feature,P_Value,Method,Significant,Time_Seconds
exang,3.438041801808029e-14,Fisher's Exact,YES,0.002499818801879883
sex,1.0098723006083515e-06,Fisher's Exact,YES,0.0034973621368408203
cp,9.999000099990002e-05,Monte Carlo (4x2),YES,15.660003662109375
slope,9.999000099990002e-05,Monte Carlo (3x2),YES,15.61400032043457
ca,9.999000099990002e-05,Monte Carlo (5x2),YES,15.92950177192688
thal,9.999000099990002e-05,Monte Carlo (4x2),YES,15.760499954223633
restecg,0.0044995500449955,Monte Carlo (3x2),YES,15.600997924804688
fbs,0.7459557581167595,Fisher's Exact,NO,0.002000093460083008
