mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.475100040435791,0.06477851911259658,0.04889969825744629,0.012471785144148548,300,2,1,,15,True,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 15, 'bootstrap': True}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1459986686706543,0.023721685849306333,0.04070019721984863,0.019600092154532893,150,10,1,sqrt,40,False,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 40, 'bootstrap': False}",1.0,1.0,0.9902439024390244,1.0,0.9902439024390244,0.9960975609756098,0.004779492181040352,2,1.0,1.0,0.998780487804878,1.0,0.998780487804878,0.9995121951219513,0.000597436522630044
0.25049991607666017,0.056939536990664376,0.0405005931854248,0.003781568960899063,200,2,1,,40,False,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 40, 'bootstrap': False}",1.0,1.0,1.0,0.9804878048780488,1.0,0.9960975609756098,0.007804878048780495,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.227799129486084,0.02935829693618836,0.06660032272338867,0.01069312842406953,200,4,1,0.5,25,False,"{'n_estimators': 200, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 25, 'bootstrap': False}",1.0,1.0,1.0,0.9804878048780488,1.0,0.9960975609756098,0.007804878048780495,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3091000556945801,0.09607792878833642,0.04199967384338379,0.002449633440510597,300,6,1,log2,10,False,"{'n_estimators': 300, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': False}",1.0,1.0,1.0,0.9804878048780488,1.0,0.9960975609756098,0.007804878048780495,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.20649924278259277,0.04382132311111019,0.0330998420715332,0.008592718360480537,150,4,1,log2,25,True,"{'n_estimators': 150, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 25, 'bootstrap': True}",1.0,1.0,1.0,0.9804878048780488,1.0,0.9960975609756098,0.007804878048780495,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.33390011787414553,0.054917074775225894,0.04940037727355957,0.009951820851156427,250,6,1,0.3,,True,"{'n_estimators': 250, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': None, 'bootstrap': True}",1.0,1.0,0.9804878048780488,1.0,0.9902439024390244,0.9941463414634146,0.007804878048780496,7,1.0,1.0,0.9975609756097561,1.0,0.998780487804878,0.9992682926829268,0.000975609756097562
0.3625001907348633,0.05237187643821409,0.0681002140045166,0.018714767214068843,300,4,1,,20,False,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20, 'bootstrap': False}",0.9902439024390244,1.0,1.0,0.9804878048780488,1.0,0.9941463414634146,0.007804878048780495,7,0.998780487804878,1.0,1.0,1.0,1.0,0.9997560975609756,0.0004878048780487809
0.21719980239868164,0.05947287372462542,0.03240022659301758,0.004586672085348281,150,4,1,0.7,10,True,"{'n_estimators': 150, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 10, 'bootstrap': True}",1.0,1.0,0.9902439024390244,0.9804878048780488,1.0,0.9941463414634146,0.007804878048780495,7,1.0,1.0,0.998780487804878,1.0,1.0,0.9997560975609756,0.0004878048780487809
0.21459927558898925,0.010272699926668653,0.060800790786743164,0.01106603392653818,250,2,2,0.3,20,False,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': 20, 'bootstrap': False}",1.0,1.0,0.9804878048780488,0.9804878048780488,1.0,0.9921951219512195,0.009558984362080703,10,1.0,1.0,0.9975609756097561,1.0,1.0,0.9995121951219513,0.0009756097560975618
0.32700042724609374,0.048014566607481116,0.04499998092651367,0.004301333212218006,250,2,2,,30,True,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 30, 'bootstrap': True}",0.975609756097561,1.0,0.9804878048780488,1.0,0.9902439024390244,0.9892682926829268,0.00994930636798593,11,0.9975609756097561,1.0,0.9975609756097561,1.0,0.998780487804878,0.998780487804878,0.001090764867073069
0.23309898376464844,0.03711856329248728,0.04449982643127441,0.006603081806359377,250,4,3,sqrt,,False,"{'n_estimators': 250, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}",1.0,1.0,0.9804878048780488,0.9804878048780488,0.9804878048780488,0.9882926829268293,0.009558984362080703,12,1.0,1.0,0.9975609756097561,1.0,0.9963414634146341,0.998780487804878,0.0015425744683748206
0.2977994441986084,0.04542611289121999,0.06559991836547852,0.01704830391742969,300,8,4,0.3,20,False,"{'n_estimators': 300, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 0.3, 'max_depth': 20, 'bootstrap': False}",0.9853658536585366,1.0,0.9804878048780488,0.9902439024390244,0.9804878048780488,0.9873170731707317,0.007300794901022331,13,0.998780487804878,1.0,0.9975609756097561,0.998780487804878,0.9963414634146341,0.9982926829268293,0.0012436632959982412
0.10739951133728028,0.010307215674765089,0.02740054130554199,0.009227588111441611,100,8,2,0.5,,False,"{'n_estimators': 100, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': None, 'bootstrap': False}",0.9853658536585366,1.0,0.9804878048780488,0.9804878048780488,0.9902439024390244,0.9873170731707317,0.007300794901022331,13,0.998780487804878,1.0,0.9975609756097561,1.0,0.998780487804878,0.9990243902439024,0.0009125993626277915
0.055299234390258786,0.003414602707708067,0.023200273513793945,0.005564096058761711,50,10,3,0.3,,False,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 0.3, 'max_depth': None, 'bootstrap': False}",0.9707317073170731,1.0,0.9804878048780488,1.0,0.9804878048780488,0.9863414634146341,0.011707317073170742,15,0.9939024390243902,1.0,0.9975609756097561,1.0,0.9963414634146341,0.997560975609756,0.002313861702562231
0.15489954948425294,0.04815578378688133,0.03900003433227539,0.004637373047162704,150,4,3,0.7,30,False,"{'n_estimators': 150, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 0.7, 'max_depth': 30, 'bootstrap': False}",0.9853658536585366,1.0,0.9902439024390244,0.9707317073170731,0.9804878048780488,0.9853658536585366,0.009756097560975618,16,0.998780487804878,1.0,0.998780487804878,0.998780487804878,0.9963414634146341,0.9985365853658535,0.001194873045260088
