Feature_Set,Num_Features,Train_Accuracy,Test_Accuracy,Overfit_Gap
Top_Stats_Effect,7,1.0,0.819672131147541,0.180327868852459
Top8_ML_Borda,8,1.0,0.7868852459016393,0.21311475409836067
Top3_Paper,3,0.8672199170124482,0.7868852459016393,0.08033467111080883
Top_Agreement,5,0.995850622406639,0.7704918032786885,0.22535881912795053
All_13,13,1.0,0.7540983606557377,0.24590163934426235
