Feature_Set,Num_Features,Single_Split_Acc,CV_5Fold_Mean,CV_5Fold_Std,Difference,Within_1_Std
All_13,13,0.7540983606557377,0.8246994535519125,0.03306286399578732,-0.07060109289617489,False
Top8_ML_Borda,8,0.7868852459016393,0.8312021857923497,0.01865173895380205,-0.044316939890710394,False
Top_Stats_Effect,7,0.819672131147541,0.7946448087431695,0.013936676128230165,0.025027322404371555,False
Top_Agreement,5,0.7704918032786885,0.7816939890710382,0.03207934190244408,-0.011202185792349661,True
Top3_Paper,3,0.7868852459016393,0.8311475409836065,0.012047910171830436,-0.04426229508196722,False
