,precision,recall,f1-score,support
No Disease,0.9803921568627451,1.0,0.9900990099009901,150.0
Disease,1.0,0.9810126582278481,0.9904153354632588,158.0
accuracy,0.9902597402597403,0.9902597402597403,0.9902597402597403,0.9902597402597403
macro avg,0.9901960784313726,0.990506329113924,0.9902571726821244,308.0
weighted avg,0.9904507257448434,0.9902597402597403,0.9902612808063097,308.0
