Feature_Set,Num_Features,Mean_Accuracy,Std,CI_95_Lower,CI_95_Upper,CI_Width
Top8_ML_Borda,8,0.8312021857923497,0.01865173895380205,0.8053094211314943,0.8570949504532052,0.05178552932171088
Top3_Paper,3,0.8311475409836065,0.012047910171830436,0.8144223603713858,0.8478727215958273,0.03345036122444145
All_13,13,0.8246994535519125,0.03306286399578732,0.7788008400994504,0.8705980670043747,0.09179722690492431
Top_Stats_Effect,7,0.7946448087431695,0.013936676128230165,0.7752976006336936,0.8139920168526453,0.038694416218951755
Top_Agreement,5,0.7816939890710382,0.03207934190244408,0.7371607231695344,0.8262272549725419,0.0890665318030075
