CV_Strategy,Feature_Set,Num_Features,Test_Accuracy_Mean,Test_Accuracy_Std,Test_Precision_Mean,Test_Recall_Mean,Test_F1_Mean,Test_ROC_AUC_Mean,Train_Accuracy_Mean,Train_Accuracy_Std,Overfit_Gap,Test_Accuracy_Folds
5-Fold,All_13,13,0.8246994535519125,0.03306286399578732,0.8325745542119286,0.853598484848485,0.8399632734643132,0.907280894260061,1.0,0.0,0.17530054644808746,"[0.7868852459016393, 0.8032786885245902, 0.8333333333333334, 0.8833333333333333, 0.8166666666666667]"
5-Fold,Top8_ML_Borda,8,0.8312021857923497,0.01865173895380205,0.8421045621045622,0.859659090909091,0.8458781882789859,0.8965042287958955,1.0,0.0,0.16879781420765028,"[0.819672131147541, 0.819672131147541, 0.8166666666666667, 0.8666666666666667, 0.8333333333333334]"
5-Fold,Top_Stats_Effect,7,0.7946448087431695,0.013936676128230165,0.8039136302294198,0.8412878787878789,0.8159622759670505,0.8828737524050023,1.0,0.0,0.20535519125683055,"[0.819672131147541, 0.7868852459016393, 0.7833333333333333, 0.8, 0.7833333333333333]"
5-Fold,Top_Agreement,5,0.7816939890710382,0.03207934190244408,0.7830373170001652,0.8414772727272728,0.806492338053971,0.8804906705948372,0.9966873564006722,0.0016563395492462595,0.21499336732963403,"[0.7540983606557377, 0.7377049180327869, 0.8166666666666667, 0.8166666666666667, 0.7833333333333333]"
5-Fold,Top3_Paper,3,0.8311475409836065,0.012047910171830436,0.8253398939157606,0.8776515151515152,0.8487690839929647,0.8907170664983166,0.8592709440691333,0.0002855960058113205,0.028123403085526744,"[0.819672131147541, 0.8360655737704918, 0.8166666666666667, 0.85, 0.8333333333333334]"
10-Fold,All_13,13,0.8246236559139785,0.06465120268810462,0.8378266981556454,0.8610294117647059,0.8431449045894016,0.9095123626373626,1.0,0.0,0.17537634408602154,"[0.8064516129032258, 0.8064516129032258, 0.8666666666666667, 0.6666666666666666, 0.8, 0.8333333333333334, 0.8666666666666667, 0.9, 0.9, 0.8]"
10-Fold,Top8_ML_Borda,8,0.8147311827956989,0.044326775090694735,0.8247849682137609,0.8492647058823529,0.8313595185205841,0.9072145685197157,1.0,0.0,0.1852688172043011,"[0.8064516129032258, 0.7741935483870968, 0.8666666666666667, 0.7333333333333333, 0.8, 0.8, 0.8333333333333334, 0.9, 0.8333333333333334, 0.8]"
10-Fold,Top_Stats_Effect,7,0.8048387096774196,0.051626902223385715,0.8050862327387096,0.8606617647058824,0.8268343113179277,0.8862617162249515,1.0,0.0,0.19516129032258045,"[0.7741935483870968, 0.7741935483870968, 0.8666666666666667, 0.7, 0.8333333333333334, 0.8666666666666667, 0.7666666666666667, 0.8, 0.8666666666666667, 0.8]"
10-Fold,Top_Agreement,5,0.7947311827956989,0.05714211592932226,0.7980534670008355,0.8547794117647058,0.8194565704860401,0.8816964285714286,0.9966884632081616,0.0011038585651379042,0.20195728041246275,"[0.8064516129032258, 0.7741935483870968, 0.8333333333333334, 0.6333333333333333, 0.8, 0.8, 0.8, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]"
10-Fold,Top3_Paper,3,0.8244086021505378,0.05598434364825978,0.8231779482127779,0.8720588235294118,0.8417343771639437,0.8818630817711701,0.8583500651182983,0.004162855760434454,0.03394146296776046,"[0.8064516129032258, 0.8709677419354839, 0.8666666666666667, 0.7333333333333333, 0.8666666666666667, 0.7333333333333333, 0.8, 0.9, 0.8666666666666667, 0.8]"
