mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.26959996223449706,0.019645196658694578,0.02129974365234375,0.0012887756604558636,250,10,1,0.5,5,True,"{'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 5, 'bootstrap': True}",0.819672131147541,0.819672131147541,0.8333333333333334,0.9,0.8333333333333334,0.8412021857923497,0.030027011638382523,1,0.9253112033195021,0.9087136929460581,0.9297520661157025,0.9132231404958677,0.9256198347107438,0.9205239875175749,0.008084898929039743
0.06099953651428223,0.0022582598711509594,0.019300031661987304,0.004643246259709347,50,2,5,sqrt,40,True,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 40, 'bootstrap': True}",0.8360655737704918,0.8032786885245902,0.8,0.9,0.85,0.8378688524590163,0.03644509700089246,2,0.9004149377593361,0.8921161825726142,0.8966942148760331,0.8801652892561983,0.8842975206611571,0.8907376290250678,0.0075403049427599485
0.3375998020172119,0.020802521379568846,0.04519977569580078,0.008812510937317143,300,2,2,0.7,5,True,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': 5, 'bootstrap': True}",0.8360655737704918,0.819672131147541,0.8,0.9,0.8333333333333334,0.8378142076502731,0.033613265135365944,3,0.941908713692946,0.9336099585062241,0.9338842975206612,0.9380165289256198,0.9338842975206612,0.9362607592332225,0.0032650881099488688
0.14469985961914061,0.027270411244850308,0.030900335311889647,0.0029564719558044144,150,4,4,sqrt,15,False,"{'n_estimators': 150, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 15, 'bootstrap': False}",0.819672131147541,0.819672131147541,0.8166666666666667,0.8833333333333333,0.8333333333333334,0.834535519125683,0.025075120796133093,4,0.9543568464730291,0.950207468879668,0.9421487603305785,0.9504132231404959,0.9421487603305785,0.94785501183087,0.004888250512285063
0.31079955101013185,0.06838431441585564,0.04800057411193848,0.009050067444613456,300,8,4,0.3,20,False,"{'n_estimators': 300, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 0.3, 'max_depth': 20, 'bootstrap': False}",0.8032786885245902,0.819672131147541,0.8166666666666667,0.8833333333333333,0.8333333333333334,0.8312568306010929,0.027734918711016895,5,0.9626556016597511,0.946058091286307,0.9504132231404959,0.9504132231404959,0.9421487603305785,0.9503377799115256,0.006886448902135433
0.2645996570587158,0.010608990347558392,0.03940019607543945,0.01181337634059552,250,6,1,0.3,,True,"{'n_estimators': 250, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': None, 'bootstrap': True}",0.819672131147541,0.819672131147541,0.8,0.8833333333333333,0.8333333333333334,0.8312021857923497,0.02814838912700369,6,0.979253112033195,0.9585062240663901,0.9793388429752066,0.9628099173553719,0.9545454545454546,0.9668907101951237,0.010460810712522285
0.127799129486084,0.012176616922292736,0.022799968719482422,0.003472627093491846,100,4,3,,5,True,"{'n_estimators': 100, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': None, 'max_depth': 5, 'bootstrap': True}",0.819672131147541,0.819672131147541,0.8,0.9,0.8166666666666667,0.8312021857923497,0.03516782982911606,6,0.941908713692946,0.9087136929460581,0.9462809917355371,0.9297520661157025,0.9256198347107438,0.9304550598401974,0.013252976598404386
0.0589996337890625,0.0023242475739810348,0.017000198364257812,0.0018704764668183525,50,4,4,sqrt,40,True,"{'n_estimators': 50, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 40, 'bootstrap': True}",0.819672131147541,0.8032786885245902,0.8,0.8833333333333333,0.8333333333333334,0.8279234972677596,0.03018174812554767,8,0.91701244813278,0.9128630705394191,0.9049586776859504,0.9008264462809917,0.9008264462809917,0.9072974177840265,0.006550953440581551
0.3584002494812012,0.071854389380378,0.03409996032714844,0.003992656247872835,300,6,2,sqrt,15,True,"{'n_estimators': 300, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15, 'bootstrap': True}",0.819672131147541,0.8032786885245902,0.8166666666666667,0.8833333333333333,0.8166666666666667,0.8279234972677596,0.02828120946499442,8,0.966804979253112,0.941908713692946,0.9545454545454546,0.9504132231404959,0.9421487603305785,0.9511642261925175,0.00920405349179219
0.21880006790161133,0.011931814338384295,0.03270001411437988,0.004142456399673408,200,4,2,log2,,True,"{'n_estimators': 200, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}",0.8032786885245902,0.819672131147541,0.8166666666666667,0.8833333333333333,0.8166666666666667,0.8279234972677596,0.02828120946499442,8,0.979253112033195,0.9626556016597511,0.9793388429752066,0.9752066115702479,0.9586776859504132,0.9710263708377628,0.008681136692767072
