Num_Features,Random_Forest,Gradient_Boosting,XGBoost,CatBoost,LightGBM
1,0.7584699453551913,0.7584699453551913,0.7584699453551913,0.7584699453551913,0.7584699453551913
2,0.7484699453551913,0.7484699453551913,0.7484699453551913,0.7617486338797814,0.7518032786885246
3,0.8311475409836065,0.8312568306010929,0.8410382513661203,0.834535519125683,0.8377595628415302
4,0.7816393442622951,0.7849180327868852,0.7849180327868852,0.8245901639344263,0.8078688524590163
5,0.8181420765027323,0.7850273224043715,0.7849726775956285,0.818087431693989,0.7947540983606557
6,0.7883060109289617,0.778360655737705,0.7650273224043715,0.8279781420765027,0.7850273224043717
7,0.7915846994535519,0.7750273224043717,0.7716939890710383,0.8246994535519125,0.7916939890710383
8,0.8178688524590164,0.7717486338797814,0.7948633879781422,0.8244808743169398,0.7983060109289617
9,0.8213114754098362,0.7782513661202186,0.804808743169399,0.8310382513661203,0.8147540983606557
10,0.8180327868852458,0.7650819672131147,0.8015846994535518,0.8444808743169399,0.8080874316939891
11,0.8114754098360656,0.7849726775956285,0.8046994535519125,0.8344808743169398,0.8113661202185792
12,0.8148087431693989,0.7917486338797814,0.8147540983606557,0.8476502732240437,0.8181420765027323
13,0.8214207650273224,0.7884699453551913,0.8015300546448086,0.8311475409836065,0.8114207650273224
