mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.11080036163330079,0.0068895998796879455,0.017200422286987305,0.001749363296333485,True,,sqrt,4,10,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.8360655737704918,0.8032786885245902,0.8166666666666667,0.8833333333333333,0.85,0.8378688524590163,0.027797293750451767,1,0.8962655601659751,0.9087136929460581,0.9132231404958677,0.8966942148760331,0.8966942148760331,0.9023181646719933,0.007207120417266266
0.11170015335083008,0.006257180817892537,0.020799922943115234,0.0030102642534450665,True,10,sqrt,4,10,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.8360655737704918,0.8032786885245902,0.8166666666666667,0.8833333333333333,0.85,0.8378688524590163,0.027797293750451767,1,0.8962655601659751,0.9087136929460581,0.9132231404958677,0.8966942148760331,0.8966942148760331,0.9023181646719933,0.007207120417266266
0.11410021781921387,0.00627164682339821,0.023300361633300782,0.002908734878027997,True,20,sqrt,4,10,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.8360655737704918,0.8032786885245902,0.8166666666666667,0.8833333333333333,0.85,0.8378688524590163,0.027797293750451767,1,0.8962655601659751,0.9087136929460581,0.9132231404958677,0.8966942148760331,0.8966942148760331,0.9023181646719933,0.007207120417266266
0.12199959754943848,0.008584953599994147,0.022600126266479493,0.005228773406175528,True,30,sqrt,4,10,100,"{'bootstrap': True, 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.8360655737704918,0.8032786885245902,0.8166666666666667,0.8833333333333333,0.85,0.8378688524590163,0.027797293750451767,1,0.8962655601659751,0.9087136929460581,0.9132231404958677,0.8966942148760331,0.8966942148760331,0.9023181646719933,0.007207120417266266
0.06469998359680176,0.009053246404062259,0.01880030632019043,0.0045670691578448145,True,,sqrt,4,10,50,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.819672131147541,0.8032786885245902,0.8166666666666667,0.8833333333333333,0.85,0.8345901639344262,0.028766534582730485,5,0.9128630705394191,0.8962655601659751,0.9173553719008265,0.8884297520661157,0.8966942148760331,0.902321593909674,0.010940415161430022
0.05950002670288086,0.007860655117004107,0.013700008392333984,0.0019651357923647396,True,10,sqrt,4,10,50,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.819672131147541,0.8032786885245902,0.8166666666666667,0.8833333333333333,0.85,0.8345901639344262,0.028766534582730485,5,0.9128630705394191,0.8962655601659751,0.9173553719008265,0.8884297520661157,0.8966942148760331,0.902321593909674,0.010940415161430022
0.06520042419433594,0.008388436160851002,0.01629958152770996,0.002839130683843485,True,20,sqrt,4,10,50,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.819672131147541,0.8032786885245902,0.8166666666666667,0.8833333333333333,0.85,0.8345901639344262,0.028766534582730485,5,0.9128630705394191,0.8962655601659751,0.9173553719008265,0.8884297520661157,0.8966942148760331,0.902321593909674,0.010940415161430022
0.06189937591552734,0.005190542494705418,0.015200281143188476,0.001859875328435983,True,30,sqrt,4,10,50,"{'bootstrap': True, 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.819672131147541,0.8032786885245902,0.8166666666666667,0.8833333333333333,0.85,0.8345901639344262,0.028766534582730485,5,0.9128630705394191,0.8962655601659751,0.9173553719008265,0.8884297520661157,0.8966942148760331,0.902321593909674,0.010940415161430022
0.08689985275268555,0.004351864356117847,0.023600339889526367,0.0032467890107871064,False,,sqrt,4,2,100,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.8032786885245902,0.819672131147541,0.8166666666666667,0.8833333333333333,0.85,0.8345901639344262,0.028766534582730485,5,0.9543568464730291,0.946058091286307,0.9462809917355371,0.9586776859504132,0.9421487603305785,0.9495044751551729,0.006067425342091507
0.08840017318725586,0.006077574779722093,0.02369976043701172,0.005015656561083071,False,,sqrt,4,5,100,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.8032786885245902,0.819672131147541,0.8166666666666667,0.8833333333333333,0.85,0.8345901639344262,0.028766534582730485,5,0.9543568464730291,0.946058091286307,0.9462809917355371,0.9586776859504132,0.9421487603305785,0.9495044751551729,0.006067425342091507
