Method,Mean_Accuracy,Std_Dev,Computation_Time_sec
Default,0.8311475409836065,0.012047910171830436,0.5018877983093262
Grid Search,0.8378688524590163,0.027797293750451767,62.50649976730347
Random Search,0.8412021857923497,0.030027011638382523,4.181002616882324
